mkt_unique_carrier,origin,dest,crs_dep_time,crs_arr_time,arr_delay,crs_elapsed_time,flights,distance,orig_weather_categ,dest_weather_categ,year,month,day,dep_time_of_day,arr_time_of_day,orig_region,dest_region
DL,LGA,CVG,846,1118,-6.0,152.0,1.0,585.0,sunny,sunny,2019,12,12,0,0,Mid-Atlantic,East-North Central
UA,ERI,ORD,1745,1839,-11.0,114.0,1.0,398.0,snow,sunny,2019,12,11,3,3,Mid-Atlantic,East-North Central
DL,SFO,ATL,745,1522,12.0,277.0,1.0,2139.0,sunny,rain,2018,12,27,0,2,Pacific,South-Atlantic
AA,DFW,SFO,2050,2229,27.0,219.0,1.0,1464.0,sunny,sunny,2018,8,4,3,1,West-South Central,Pacific
DL,SFO,JFK,1257,2129,51.0,332.0,1.0,2586.0,rain,snow & rain,2019,12,1,2,1,Pacific,Mid-Atlantic
WN,BNA,FLL,1945,2255,-4.0,130.0,1.0,793.0,sunny,sunny,2018,12,17,3,1,East-South Central,South-Atlantic
UA,IAH,DFW,1000,1118,-6.0,78.0,1.0,224.0,sunny,sunny,2019,9,12,0,0,West-South Central,West-South Central
DL,DTW,MSP,832,922,0.0,110.0,1.0,528.0,sunny,rain,2019,9,21,0,0,East-North Central,West-North Central
AA,PHL,ROC,1601,1727,-13.0,86.0,1.0,257.0,rain,sunny,2018,9,9,2,3,Mid-Atlantic,Mid-Atlantic
DL,DTW,MDT,2030,2159,797.0,89.0,1.0,371.0,rain,sunny,2019,7,21,3,1,East-North Central,Mid-Atlantic
WN,OAK,RNO,1010,1110,-12.0,60.0,1.0,181.0,sunny,sunny,2019,1,27,0,0,Pacific,South-West
AA,DFW,MSO,1030,1257,-8.0,207.0,1.0,1320.0,sunny,rain,2019,9,26,0,2,West-South Central,North-West
DL,CVG,BOS,1900,2115,1.0,135.0,1.0,752.0,cloudy,snow & rain,2018,1,17,3,1,East-North Central,New England
DL,PDX,DTW,1210,1914,15.0,244.0,1.0,1953.0,cloudy,cloudy,2018,8,30,2,3,Pacific,East-North Central
AA,DFW,MFE,1045,1226,-6.0,101.0,1.0,469.0,rain,rain,2018,11,9,0,2,West-South Central,West-South Central
DL,SFO,DTW,905,1636,-4.0,271.0,1.0,2079.0,sunny,sunny,2019,10,7,0,2,Pacific,East-North Central
DL,INL,MSP,1055,1203,-36.0,68.0,1.0,255.0,rain,sunny,2018,4,27,0,2,West-North Central,West-North Central
UA,LAX,LAS,1505,1620,-24.0,75.0,1.0,236.0,sunny,sunny,2018,6,12,2,2,Pacific,South-West
AA,IND,PHL,1430,1631,-24.0,121.0,1.0,588.0,rain,rain,2019,5,26,2,2,East-North Central,Mid-Atlantic
DL,STT,ATL,1505,1822,-38.0,257.0,1.0,1599.0,no weather data,sunny,2018,1,21,2,3,Offshore Territory,South-Atlantic
WN,RDU,ATL,620,745,-10.0,85.0,1.0,356.0,sunny,sunny,2018,4,5,0,0,South-Atlantic,South-Atlantic
DL,DCA,LGA,1900,2032,-30.0,92.0,1.0,214.0,sunny,rain,2019,10,23,3,3,Mid-Atlantic,Mid-Atlantic
DL,RSW,CVG,1415,1645,-21.0,150.0,1.0,879.0,sunny,cloudy,2019,1,11,2,2,South-Atlantic,East-North Central
AA,LIT,CLT,703,1011,-18.0,128.0,1.0,640.0,cloudy,sunny,2019,1,28,0,0,West-South Central,South-Atlantic
WN,LAX,SFO,855,1020,0.0,85.0,1.0,337.0,sunny,rain,2018,11,21,0,0,Pacific,Pacific
DL,SNA,SLC,1657,1945,-4.0,108.0,1.0,588.0,rain,rain,2019,3,6,2,3,Pacific,South-West
AA,CLT,ORD,1805,1935,-17.0,150.0,1.0,599.0,sunny,cloudy,2018,4,21,3,3,South-Atlantic,East-North Central
UA,BNA,ORD,1015,1204,-17.0,109.0,1.0,409.0,sunny,cloudy,2019,7,1,0,2,East-South Central,East-North Central
AA,CLT,CHS,740,837,1.0,57.0,1.0,168.0,rain,sunny,2018,7,2,0,0,South-Atlantic,South-Atlantic
AA,LGA,MIA,1629,2001,-48.0,212.0,1.0,1096.0,rain,rain,2019,5,17,2,3,Mid-Atlantic,South-Atlantic
AA,DFW,RSW,1445,1820,25.0,155.0,1.0,1017.0,rain,sunny,2018,5,4,2,3,West-South Central,South-Atlantic
AA,ORD,SLC,1341,1616,62.0,215.0,1.0,1250.0,sunny,sunny,2018,4,22,2,2,East-North Central,South-West
AS,SEA,LAS,908,1142,-13.0,154.0,1.0,867.0,sunny,sunny,2018,8,18,0,0,Pacific,South-West
WN,BNA,ATL,1345,1550,-13.0,65.0,1.0,214.0,cloudy,sunny,2018,11,17,2,2,East-South Central,South-Atlantic
AA,DFW,BWI,1845,2239,-2.0,174.0,1.0,1217.0,sunny,sunny,2019,10,12,3,1,West-South Central,Mid-Atlantic
WN,SAN,DAL,1125,1625,-14.0,180.0,1.0,1182.0,cloudy,rain,2018,6,17,0,2,Pacific,West-South Central
AA,DFW,SGF,1050,1214,-8.0,84.0,1.0,364.0,sunny,sunny,2018,6,28,0,2,West-South Central,West-North Central
UA,ORD,ATL,908,1209,-11.0,121.0,1.0,606.0,sunny,sunny,2018,3,3,0,2,East-North Central,South-Atlantic
WN,BWI,ATL,625,815,-8.0,110.0,1.0,577.0,sunny,sunny,2019,9,17,0,0,Mid-Atlantic,South-Atlantic
WN,SDF,PHX,930,1140,-22.0,250.0,1.0,1506.0,rain,sunny,2018,1,27,0,0,East-South Central,South-West
WN,CMH,LAS,1240,1415,-18.0,275.0,1.0,1771.0,sunny,sunny,2018,12,18,2,2,East-North Central,South-West
WN,LBB,DAL,1355,1505,-13.0,70.0,1.0,293.0,sunny,sunny,2019,10,26,2,2,West-South Central,West-South Central
UA,MOT,DEN,1515,1617,-24.0,122.0,1.0,604.0,cloudy,sunny,2019,2,24,2,2,West-North Central,South-West
WN,DEN,PDX,1055,1255,2.0,180.0,1.0,991.0,sunny,rain,2019,1,23,0,2,South-West,Pacific
DL,SGF,ATL,600,856,-12.0,116.0,1.0,563.0,sunny,rain,2019,7,9,0,0,West-North Central,South-Atlantic
DL,MKE,BOS,833,1145,-20.0,132.0,1.0,860.0,sunny,cloudy,2018,10,4,0,0,East-North Central,New England
AA,LAX,BOS,1536,2358,118.0,322.0,1.0,2611.0,sunny,cloudy,2019,1,21,2,1,Pacific,New England
UA,IAH,MSP,1420,1711,-18.0,171.0,1.0,1034.0,rain,sunny,2018,9,16,2,3,West-South Central,West-North Central
AA,TYS,DFW,1622,1754,21.0,152.0,1.0,771.0,rain,rain,2018,12,31,2,3,East-South Central,West-South Central
UA,IAH,XNA,1425,1607,-31.0,102.0,1.0,438.0,cloudy,sunny,2019,10,8,2,2,West-South Central,West-South Central
DL,JFK,BTV,2200,2323,-3.0,83.0,1.0,266.0,sunny,rain,2019,11,15,1,1,Mid-Atlantic,New England
AS,JFK,LAS,730,1011,-40.0,341.0,1.0,2248.0,cloudy,sunny,2018,10,9,0,0,Mid-Atlantic,South-West
WN,SEA,SAN,705,950,0.0,165.0,1.0,1050.0,cloudy,sunny,2019,3,29,0,0,Pacific,Pacific
AA,DFW,SNA,1435,1537,24.0,182.0,1.0,1205.0,rain,sunny,2018,8,19,2,2,West-South Central,Pacific
VX,SEA,LAX,1610,1852,31.0,162.0,1.0,954.0,rain,sunny,2018,3,26,2,3,Pacific,Pacific
UA,DCA,EWR,1850,2014,50.0,84.0,1.0,199.0,rain,rain,2018,9,27,3,3,Mid-Atlantic,Mid-Atlantic
WN,ISP,PBI,1410,1710,-14.0,180.0,1.0,1052.0,sunny,sunny,2019,1,7,2,3,Mid-Atlantic,South-Atlantic
AA,MHT,CLT,1726,1955,-22.0,149.0,1.0,737.0,rain,sunny,2019,4,23,3,3,New England,South-Atlantic
F9,SAT,SAN,910,1019,-5.0,189.0,1.0,1129.0,rain,cloudy,2019,6,6,0,0,West-South Central,Pacific
AS,LAX,ORD,1140,1757,1.0,257.0,1.0,1744.0,sunny,cloudy,2018,7,31,0,3,Pacific,East-North Central
DL,ABE,ATL,1752,2002,61.0,130.0,1.0,692.0,sunny,cloudy,2018,7,20,3,3,Mid-Atlantic,South-Atlantic
AA,BOS,ROC,1535,1705,50.0,90.0,1.0,343.0,rain,rain,2019,8,7,2,3,New England,Mid-Atlantic
WN,MCO,BDL,1900,2140,-2.0,160.0,1.0,1050.0,rain,rain,2018,8,11,3,1,South-Atlantic,New England
NK,DTW,LAS,1119,1243,-6.0,264.0,1.0,1749.0,rain,sunny,2019,9,12,0,2,East-North Central,South-West
AA,CLT,ORD,940,1059,-13.0,139.0,1.0,599.0,cloudy,sunny,2019,10,7,0,0,South-Atlantic,East-North Central
AS,LAX,DCA,1240,2059,73.0,319.0,1.0,2311.0,sunny,rain,2018,6,11,2,3,Pacific,Mid-Atlantic
WN,LAS,DAL,1225,1710,76.0,165.0,1.0,1067.0,sunny,sunny,2019,7,30,2,3,South-West,West-South Central
WN,ABQ,HOU,1625,1925,99.0,120.0,1.0,759.0,sunny,cloudy,2018,5,3,2,3,South-West,West-South Central
AA,PIT,BOS,1645,1831,-8.0,106.0,1.0,496.0,cloudy,sunny,2018,12,4,2,3,Mid-Atlantic,New England
AS,MSY,SFO,1930,2230,170.0,300.0,1.0,1911.0,rain,rain,2019,2,26,3,1,West-South Central,Pacific
B6,BOS,LAS,1710,2028,111.0,378.0,1.0,2381.0,sunny,rain,2019,2,14,3,3,New England,South-West
UA,CNY,DEN,1059,1215,-11.0,76.0,1.0,283.0,sunny,sunny,2019,7,15,0,2,South-West,South-West
WN,IAD,ATL,1710,1915,113.0,125.0,1.0,534.0,rain,rain,2019,6,20,3,3,Mid-Atlantic,South-Atlantic
UA,ORD,CID,1615,1731,-3.0,76.0,1.0,196.0,rain,rain,2019,11,30,2,3,East-North Central,West-North Central
UA,DEN,SNA,1119,1239,4.0,140.0,1.0,846.0,sunny,cloudy,2018,4,19,0,2,South-West,Pacific
AA,PHL,DCA,924,1038,-20.0,74.0,1.0,119.0,rain,rain,2019,4,5,0,0,Mid-Atlantic,Mid-Atlantic
UA,ORD,TYS,657,940,-22.0,103.0,1.0,475.0,rain,rain,2018,11,5,0,0,East-North Central,East-South Central
AA,CMH,ORD,1513,1543,-24.0,90.0,1.0,296.0,sunny,sunny,2018,10,17,2,2,East-North Central,East-North Central
AA,CHS,DCA,1431,1559,-5.0,88.0,1.0,444.0,rain,rain,2018,9,23,2,2,South-Atlantic,Mid-Atlantic
WN,MCI,LGA,600,945,1.0,165.0,1.0,1107.0,rain,sunny,2019,4,23,0,0,West-North Central,Mid-Atlantic
DL,LGA,BUF,1145,1325,-16.0,100.0,1.0,292.0,sunny,cloudy,2018,12,7,0,2,Mid-Atlantic,Mid-Atlantic
B6,MCO,LAX,1240,1450,21.0,310.0,1.0,2218.0,rain,sunny,2019,9,13,2,2,South-Atlantic,Pacific
UA,LAS,EWR,2115,506,108.0,291.0,1.0,2227.0,rain,sunny,2019,8,8,1,0,South-West,Mid-Atlantic
WN,TPA,RDU,1815,2000,-6.0,105.0,1.0,587.0,rain,rain,2019,8,5,3,3,South-Atlantic,South-Atlantic
AA,LGA,BOS,600,704,-17.0,64.0,1.0,184.0,sunny,sunny,2018,7,19,0,0,Mid-Atlantic,New England
UA,SFO,BOS,1040,1915,-15.0,335.0,1.0,2704.0,cloudy,cloudy,2018,8,31,0,3,Pacific,New England
WN,MDW,RDU,2050,2335,-4.0,105.0,1.0,632.0,sunny,sunny,2019,3,23,3,1,East-North Central,South-Atlantic
UA,SDF,EWR,1845,2056,-22.0,131.0,1.0,642.0,sunny,sunny,2018,1,25,3,3,East-South Central,Mid-Atlantic
AA,DAY,ORD,850,916,-16.0,86.0,1.0,240.0,sunny,sunny,2018,2,26,0,0,East-North Central,East-North Central
WN,PHX,CMH,1015,1710,-7.0,235.0,1.0,1670.0,sunny,sunny,2019,8,1,0,3,South-West,East-North Central
UA,IAH,SAT,1209,1320,-11.0,71.0,1.0,191.0,cloudy,sunny,2019,11,4,2,2,West-South Central,West-South Central
WN,PHL,STL,1925,2105,-20.0,160.0,1.0,814.0,sunny,sunny,2019,12,24,3,1,Mid-Atlantic,West-North Central
UA,IAD,TPA,820,1036,-5.0,136.0,1.0,811.0,rain,rain,2019,10,20,0,0,Mid-Atlantic,South-Atlantic
AA,LGA,CVG,2030,2238,82.0,128.0,1.0,585.0,sunny,sunny,2019,6,28,3,1,Mid-Atlantic,East-North Central
AA,DFW,MYR,1045,1439,-18.0,174.0,1.0,1048.0,sunny,rain,2019,6,20,0,2,West-South Central,South-Atlantic
AA,ORD,LAS,1355,1557,-20.0,242.0,1.0,1514.0,sunny,sunny,2019,11,15,2,2,East-North Central,South-West
AA,MCO,DFW,742,945,11.0,183.0,1.0,985.0,sunny,rain,2018,11,9,0,0,South-Atlantic,West-South Central
AA,LGA,DFW,1030,1353,-32.0,263.0,1.0,1389.0,cloudy,sunny,2018,1,8,0,2,Mid-Atlantic,West-South Central
WN,GRR,MDW,1105,1105,-20.0,60.0,1.0,137.0,sunny,sunny,2019,9,2,0,0,East-North Central,East-North Central
AA,DCA,MIA,600,835,8.0,155.0,1.0,919.0,rain,sunny,2018,10,26,0,0,Mid-Atlantic,South-Atlantic
AA,SFO,LAX,1915,2050,4.0,95.0,1.0,337.0,rain,cloudy,2019,3,22,3,3,Pacific,Pacific
UA,IAH,CAE,1940,2258,1.0,138.0,1.0,878.0,rain,sunny,2018,1,21,3,1,West-South Central,South-Atlantic
UA,HDN,DEN,1242,1340,4.0,58.0,1.0,141.0,sunny,sunny,2018,7,31,2,2,South-West,South-West
UA,FSD,DEN,1700,1756,232.0,116.0,1.0,483.0,sunny,sunny,2019,7,15,3,3,West-North Central,South-West
B6,SLC,BOS,2258,534,-8.0,276.0,1.0,2105.0,sunny,cloudy,2018,6,3,1,0,South-West,New England
AA,MIA,MCO,1730,1847,0.0,77.0,1.0,192.0,rain,rain,2019,6,28,3,3,South-Atlantic,South-Atlantic
AA,HVN,PHL,1755,1858,7.0,63.0,1.0,157.0,sunny,sunny,2018,5,3,3,3,New England,Mid-Atlantic
DL,TRI,ATL,1530,1640,-3.0,70.0,1.0,227.0,cloudy,rain,2018,10,25,2,2,East-South Central,South-Atlantic
AS,ANC,SEA,1212,1630,-19.0,198.0,1.0,1448.0,rain,cloudy,2018,5,29,2,2,Pacific,Pacific
AS,ANC,LAX,2320,543,-28.0,323.0,1.0,2345.0,sunny,sunny,2018,7,21,1,0,Pacific,Pacific
AS,WRG,KTN,1605,1635,20.0,30.0,1.0,82.0,rain,cloudy,2019,7,11,2,2,Pacific,Pacific
DL,ROC,LGA,900,1024,10.0,84.0,1.0,254.0,rain,rain,2018,7,6,0,0,Mid-Atlantic,Mid-Atlantic
UA,MEM,IAH,1455,1652,-23.0,117.0,1.0,468.0,rain,sunny,2018,10,26,2,2,East-South Central,West-South Central
UA,DEN,PAE,923,1137,-11.0,194.0,1.0,1036.0,cloudy,sunny,2019,11,28,0,0,South-West,Pacific
UA,ABQ,SFO,1525,1705,-10.0,160.0,1.0,896.0,cloudy,cloudy,2019,5,29,2,3,South-West,Pacific
UA,IND,IAH,920,1103,-28.0,163.0,1.0,844.0,sunny,rain,2018,5,24,0,0,East-North Central,West-South Central
B6,BOS,SRQ,1151,1527,37.0,216.0,1.0,1220.0,snow,sunny,2018,2,22,0,2,New England,South-Atlantic
WN,SMF,LAX,700,830,-14.0,90.0,1.0,373.0,sunny,sunny,2018,7,25,0,0,Pacific,Pacific
WN,MDW,LAS,620,810,-24.0,230.0,1.0,1521.0,sunny,sunny,2018,5,25,0,0,East-North Central,South-West
AA,BDL,ORD,1934,2110,23.0,156.0,1.0,783.0,rain,sunny,2018,11,13,3,1,New England,East-North Central
DL,TPA,JFK,1156,1443,82.0,167.0,1.0,1005.0,sunny,snow,2018,3,13,0,2,South-Atlantic,Mid-Atlantic
UA,LAX,CLE,2234,555,-36.0,261.0,1.0,2052.0,cloudy,snow,2019,3,3,1,0,Pacific,East-North Central
DL,ATL,AGS,1737,1845,0.0,68.0,1.0,143.0,rain,rain,2019,8,23,3,3,South-Atlantic,South-Atlantic
DL,ATL,SAV,1936,2040,-11.0,64.0,1.0,214.0,sunny,cloudy,2018,9,23,3,3,South-Atlantic,South-Atlantic
AS,SJC,SEA,2010,2229,61.0,139.0,1.0,696.0,rain,rain,2019,12,19,3,1,Pacific,Pacific
WN,DAL,LBB,1100,1215,0.0,75.0,1.0,293.0,rain,rain,2019,11,7,0,2,West-South Central,West-South Central
UA,IAD,EWR,1915,2044,242.0,89.0,1.0,212.0,snow & rain,cloudy,2018,3,20,3,3,Mid-Atlantic,Mid-Atlantic
AA,DFW,IAH,1045,1204,-5.0,79.0,1.0,224.0,sunny,cloudy,2018,4,18,0,2,West-South Central,West-South Central
AA,SDF,DCA,605,739,-21.0,94.0,1.0,474.0,sunny,sunny,2019,8,10,0,0,East-South Central,Mid-Atlantic
WN,BWI,MHT,1620,1745,-9.0,85.0,1.0,377.0,sunny,sunny,2018,8,24,2,3,Mid-Atlantic,New England
DL,ATL,MGM,1800,1800,31.0,60.0,1.0,147.0,sunny,sunny,2018,1,15,3,3,South-Atlantic,East-South Central
DL,LGA,DTW,1240,1449,5.0,129.0,1.0,502.0,sunny,sunny,2018,6,25,2,2,Mid-Atlantic,East-North Central
AA,MHK,ORD,530,711,-13.0,101.0,1.0,501.0,sunny,sunny,2019,8,7,0,0,West-North Central,East-North Central
AA,ORD,DFW,1311,1545,-8.0,154.0,1.0,801.0,cloudy,sunny,2018,12,20,2,2,East-North Central,West-South Central
DL,ATL,DFW,1147,1311,-2.0,144.0,1.0,731.0,sunny,sunny,2018,12,24,0,2,South-Atlantic,West-South Central
B6,JFK,SAN,1600,1928,4.0,388.0,1.0,2446.0,cloudy,rain,2019,2,15,2,3,Mid-Atlantic,Pacific
DL,ATL,LGA,830,1048,-2.0,138.0,1.0,762.0,rain,rain,2019,8,13,0,0,South-Atlantic,Mid-Atlantic
B6,BOS,IAD,1241,1424,11.0,103.0,1.0,413.0,rain,rain,2018,1,13,2,2,New England,Mid-Atlantic
DL,GEG,MSP,1410,1910,-25.0,180.0,1.0,1175.0,snow,cloudy,2019,2,14,2,3,Pacific,West-North Central
UA,MCI,IAD,1235,1555,-8.0,140.0,1.0,926.0,sunny,sunny,2018,7,12,2,2,West-North Central,Mid-Atlantic
DL,LAX,DEN,812,1142,0.0,150.0,1.0,862.0,cloudy,snow & rain,2019,1,11,0,0,Pacific,South-West
WN,SEA,STL,920,1505,-5.0,225.0,1.0,1709.0,snow,sunny,2019,2,8,0,2,Pacific,West-North Central
UA,DCA,EWR,745,858,6.0,73.0,1.0,199.0,rain,rain,2018,9,27,0,0,Mid-Atlantic,Mid-Atlantic
WN,LAS,DEN,1340,1630,-8.0,110.0,1.0,628.0,cloudy,sunny,2018,2,27,2,2,South-West,South-West
