,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source
21,45.0,43.0,926280.0,3268.0,2844.0,0.0,0.0,366.0,4028.0,2796.0,OH,20397,PSA Airlines Inc.,D,OH,PSA Airlines Inc.,2,2,14122,30198,PIT,"Pittsburgh, PA",US,United States,11057,31057,CLT,"Charlotte, NC",US,United States,6,638,1,2018,4,1,F,DU
22,27.0,27.0,364500.0,1350.0,1273.0,0.0,0.0,457.0,2363.0,1825.0,EV,20366,ExpressJet Airlines LLC,D,EV,ExpressJet Airlines Inc.,3,3,10397,30397,ATL,"Atlanta, GA",US,United States,10990,30990,CHO,"Charlottesville, VA",US,United States,6,629,1,2015,11,1,F,DU
23,2.0,1.0,17610.0,70.0,54.0,0.0,0.0,213.0,61.0,45.0,G7,20500,GoJet Airlines LLC d/b/a United Express,D,G7,GoJet Airlines LLC d/b/a United Express,2,2,12478,31703,JFK,"New York, NY",US,United States,11278,30852,DCA,"Washington, DC",US,United States,6,631,1,2017,2,1,F,DU
24,6.0,6.0,247912.0,1074.0,585.0,1129.0,1945.0,783.0,714.0,566.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,13930,30977,ORD,"Chicago, IL",US,United States,10529,30529,BDL,"Hartford, CT",US,United States,6,888,1,2018,9,2,F,DU
25,0.0,1.0,5600.0,0.0,0.0,1458.0,0.0,4.0,9.0,3.0,7S,20330,Ryan Air f/k/a Arctic Transportation,D,7S,Arctic Transportation,1,5,13770,33770,NUP,"Nunapitchuk, AK",US,United States,12831,32831,KUK,"Kasigluk, AK",US,United States,4,412,2,2016,2,1,G,DU
26,58.0,58.0,1247116.0,4408.0,3294.0,0.0,0.0,284.0,3962.0,2852.0,9E,20363,Endeavor Air Inc.,D,9E,Endeavor Air Inc.,2,2,11898,31898,GFK,"Grand Forks, ND",US,United States,13487,31650,MSP,"Minneapolis, MN",US,United States,6,638,1,2015,5,1,F,DU
27,1.0,1.0,125000.0,177.0,152.0,0.0,0.0,588.0,108.0,90.0,G4,20368,Allegiant Air,D,G4,Allegiant Air,3,3,14082,34082,PGD,"Punta Gorda, FL",US,United States,10431,30431,AVL,"Asheville, NC",US,United States,6,694,1,2016,7,2,F,DU
28,0.0,1.0,3400.0,9.0,0.0,0.0,0.0,81.0,35.0,31.0,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,12195,32195,HPB,"Hooper Bay, AK",US,United States,15085,35085,SXP,"Sheldon Point, AK",US,United States,4,416,1,2017,9,1,L,DU
29,107.0,109.0,3901754.0,16350.0,14916.0,40164.0,67005.0,1400.0,21793.0,18831.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,12266,31453,IAH,"Houston, TX",US,United States,11618,31703,EWR,"Newark, NJ",US,United States,6,694,1,2016,10,3,F,DU
30,0.0,1.0,35000.0,168.0,2.0,0.0,0.0,509.0,80.0,70.0,XP,20207,XTRA Airways,D,XP,XTRA Airways,1,1,11563,31563,ENV,"Wendover, UT",US,United States,13476,34922,MRY,"Monterey, CA",US,United States,6,617,1,2016,10,2,L,DU
31,19.0,19.0,326880.0,1444.0,1150.0,0.0,0.0,700.0,2490.0,1855.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,13487,31650,MSP,"Minneapolis, MN",US,United States,13244,33244,MEM,"Memphis, TN",US,United States,6,638,1,2019,11,2,F,DU
32,5.0,5.0,217000.0,875.0,714.0,1112.0,0.0,1788.0,1089.0,992.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14107,30466,PHX,"Phoenix, AZ",US,United States,15304,33195,TPA,"Tampa, FL",US,United States,6,838,1,2018,12,4,F,DU
33,15.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,DL,19790,Delta Air Lines Inc.,D,DL,Delta Air Lines Inc.,3,3,11977,31977,GRB,"Green Bay, WI",US,United States,11433,31295,DTW,"Detroit, MI",US,United States,8,819,1,2015,12,1,F,DU
34,29.0,27.0,1073660.0,4401.0,4147.0,1024.0,0.0,2614.0,9912.0,9302.0,AS,19930,Alaska Airlines Inc.,D,AS,Alaska Airlines Inc.,3,3,14679,33570,SAN,"San Diego, CA",US,United States,12173,32134,HNL,"Honolulu, HI",US,United States,6,614,1,2015,4,6,F,DU
35,110.0,110.0,4591312.0,19066.0,16190.0,20123.0,100359.0,1874.0,29454.0,26430.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,12266,31453,IAH,"Houston, TX",US,United States,14747,30559,SEA,"Seattle, WA",US,United States,6,634,1,2016,8,4,F,DU
36,0.0,1.0,242000.0,0.0,0.0,221738.0,0.0,1764.0,224.0,183.0,N8,20405,National Air Cargo Group Inc d/ba National Airlines,I,N8,National Air Cargo Group Inc d/ba National Airlines,1,1,16229,31215,YVR,"Vancouver, Canada",CA,Canada,13930,30977,ORD,"Chicago, IL",US,United States,8,819,2,2018,3,4,P,IU
37,31.0,31.0,1516700.0,5456.0,4878.0,86367.0,0.0,2608.0,10869.0,9877.0,AA,19805,American Airlines Inc.,L,AA,American Airlines Inc.,3,3,12986,32986,LIM,"Lima, Peru",PE,Peru,13303,32467,MIA,"Miami, FL",US,United States,6,622,1,2018,5,6,F,IU
38,0.0,1.0,36952.0,150.0,145.0,0.0,560.0,1369.0,210.0,194.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,13871,33316,OMA,"Omaha, NE",US,United States,14057,34057,PDX,"Portland, OR",US,United States,6,694,1,2019,1,3,F,DU
39,3.0,3.0,322073.0,0.0,0.0,153768.0,0.0,256.0,202.0,134.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,15016,31123,STL,"St. Louis, MO",US,United States,13244,33244,MEM,"Memphis, TN",US,United States,6,691,2,2019,6,1,G,DU
40,0.0,1.0,5300.0,8.0,2.0,0.0,0.0,852.0,138.0,120.0,04Q,21080,Tradewind Aviation,D,04Q,Tradewind Aviation,1,6,16542,36528,RBW,"Walterboro, SC",US,United States,10815,30815,BVY,"Beverly, MA",US,United States,6,646,1,2019,2,2,L,DU
41,31.0,31.0,2503123.0,6634.0,6075.0,265729.0,60556.0,3133.0,11742.0,11032.0,UA,19977,United Air Lines Inc.,L,UA,United Air Lines Inc.,3,3,12266,31453,IAH,"Houston, TX",US,United States,12986,32986,LIM,"Lima, Peru",PE,Peru,6,626,1,2018,3,7,F,IU
42,44.0,23.0,457378.0,1748.0,1474.0,0.0,0.0,599.0,2904.0,2126.0,CP,21167,Compass Airlines,D,CP,Compass Airlines,2,2,14869,34614,SLC,"Salt Lake City, UT",US,United States,14771,32457,SFO,"San Francisco, CA",US,United States,6,673,1,2016,1,2,F,DU
43,1.0,1.0,17740.0,65.0,19.0,0.0,0.0,374.0,85.0,64.0,EV,20366,ExpressJet Airlines LLC,D,EV,ExpressJet Airlines Inc.,3,3,15096,35096,SYR,"Syracuse, NY",US,United States,11433,31295,DTW,"Detroit, MI",US,United States,6,631,1,2016,2,1,F,DU
44,1.0,1.0,20210.0,76.0,73.0,1.0,0.0,693.0,218.0,195.0,YV,20378,Mesa Airlines Inc.,D,YV,Mesa Airlines Inc.,2,2,13485,33485,MSN,"Madison, WI",US,United States,13851,33851,OKC,"Oklahoma City, OK",US,United States,6,638,1,2016,7,2,F,DU
45,59.0,59.0,206500.0,0.0,0.0,84295.0,0.0,128.0,3184.0,2627.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,14122,30198,PIT,"Pittsburgh, PA",US,United States,14711,34711,SCE,"State College, PA",US,United States,4,416,2,2019,5,1,G,DU
46,0.0,2.0,80000.0,0.0,0.0,67145.0,0.0,1114.0,288.0,280.0,5V,20408,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,1,13256,33256,MFE,"Mission/McAllen/Edinburg, TX",US,United States,11871,31871,GDC,"Greenville, SC",US,United States,6,655,2,2018,6,3,P,DU
47,6.0,6.0,241200.0,996.0,660.0,70.0,3329.0,1009.0,923.0,789.0,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14107,30466,PHX,"Phoenix, AZ",US,United States,12266,31453,IAH,"Houston, TX",US,United States,6,614,1,2019,9,3,F,DU
48,5.0,5.0,8000.0,40.0,8.0,0.0,0.0,191.0,330.0,270.0,AN,21894,"ADVANCED AIR, LLC",D,AN,"ADVANCED AIR, LLC",1,6,14689,34689,SBA,"Santa Barbara, CA",US,United States,13570,33570,MYF,"San Diego, CA",US,United States,4,479,1,2018,10,1,F,DU
49,0.0,1.0,5600.0,0.0,0.0,3643.0,0.0,9.0,14.0,8.0,7S,20330,Ryan Air f/k/a Arctic Transportation,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,12855,32855,KWT,"Kwethluk, AK",US,United States,12709,32709,KKI,"Akiachak, AK",US,United States,4,412,2,2018,6,1,G,DU
50,1.0,1.0,10090.0,44.0,44.0,0.0,0.0,655.0,122.0,97.0,MQ,20398,Envoy Air,D,MQ,Envoy Air,3,3,12953,31703,LGA,"New York, NY",US,United States,15380,35380,TVC,"Traverse City, MI",US,United States,6,676,1,2018,9,2,F,DU
51,0.0,1.0,44299.0,346.0,221.0,55.0,0.0,8154.0,0.0,0.0,EY,21107,Etihad Airways,I,EY,Etihad Airways,0,0,14771,32457,SFO,"San Francisco, CA",US,United States,10415,30415,AUH,"Abu Dhabi, United Arab Emirates",AE,United Arab Emirates,6,637,1,2016,6,17,F,IF
52,119.0,116.0,1534500.0,5800.0,2979.0,0.0,0.0,222.0,8530.0,5144.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,13184,33184,MBS,"Saginaw/Bay City/Midland, MI",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,629,1,2015,1,1,F,DU
53,0.0,2.0,85000.0,346.0,283.0,0.0,0.0,861.0,275.0,230.0,GL,20402,Miami Air International,D,GL,Miami Air International,2,2,14761,34761,SFB,"Sanford, FL",US,United States,16133,36133,YNG,"Youngstown/Warren, OH",US,United States,6,614,1,2015,6,2,L,DU
54,11.0,11.0,477400.0,1925.0,1484.0,2815.0,0.0,861.0,1415.0,1249.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,12191,31453,HOU,"Houston, TX",US,United States,12339,32337,IND,"Indianapolis, IN",US,United States,6,614,1,2017,11,2,F,DU
55,286.0,282.0,11362500.0,45120.0,40040.0,1682.0,0.0,1096.0,50409.0,42256.0,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,13303,32467,MIA,"Miami, FL",US,United States,12953,31703,LGA,"New York, NY",US,United States,6,614,1,2017,4,3,F,DU
56,17.0,17.0,324564.0,1190.0,956.0,0.0,0.0,645.0,2112.0,1664.0,YX,20452,Republic Airline,D,YX,Republic Airlines,2,2,11618,31703,EWR,"Newark, NJ",US,United States,12339,32337,IND,"Indianapolis, IN",US,United States,6,677,1,2015,10,2,F,DU
57,0.0,1.0,3400.0,9.0,8.0,0.0,0.0,66.0,30.0,24.0,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,14130,34130,PKA,"Napaskiak, AK",US,United States,12853,32853,KWN,"Quinhagak, AK",US,United States,4,416,1,2015,2,1,L,DU
58,12.0,12.0,415200.0,1716.0,1199.0,0.0,0.0,1144.0,2021.0,1846.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,10792,30792,BUF,"Buffalo, NY",US,United States,14635,31714,RSW,"Fort Myers, FL",US,United States,6,612,1,2015,4,3,F,DU
59,1.0,2.0,86800.0,350.0,280.0,10.0,0.0,1050.0,334.0,305.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14492,34492,RDU,"Raleigh/Durham, NC",US,United States,12191,31453,HOU,"Houston, TX",US,United States,6,614,1,2018,6,3,F,DU
60,0.0,23.0,79600.0,207.0,95.0,177.0,135.0,57.0,628.0,536.0,8E,20331,Bering Air Inc.,D,8E,Bering Air Inc.,1,5,11411,31411,DRG,"Deering, AK",US,United States,13970,33970,OTZ,"Kotzebue, AK",US,United States,4,415,1,2019,6,1,F,DU
61,2.0,2.0,84014.0,332.0,248.0,71.0,1765.0,534.0,191.0,151.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,10397,30397,ATL,"Atlanta, GA",US,United States,12264,30852,IAD,"Washington, DC",US,United States,6,614,1,2017,4,2,F,DU
62,4.0,4.0,71680.0,304.0,190.0,0.0,0.0,601.0,396.0,315.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,15376,30436,TUS,"Tucson, AZ",US,United States,14869,34614,SLC,"Salt Lake City, UT",US,United States,6,638,1,2017,9,2,F,DU
63,0.0,1.0,6728.0,14.0,3.0,0.0,0.0,3645.0,0.0,0.0,0Q,21147,Flying Service N.V.,I,0Q,Flying Service N.V.,0,0,10292,30292,AMS,"Amsterdam, Netherlands",NL,Netherlands,15167,35167,TEB,"Teterboro, NJ",US,United States,7,775,1,2017,2,8,L,IF
64,30.0,30.0,1472700.0,5400.0,4268.0,522.0,0.0,1307.0,6167.0,5024.0,DL,19790,Delta Air Lines Inc.,L,DL,Delta Air Lines Inc.,3,3,11874,31874,GDL,"Guadalajara, Mexico",MX,Mexico,12892,32575,LAX,"Los Angeles, CA",US,United States,6,888,1,2016,6,3,F,IU
65,0.0,2.0,6464.0,18.0,5.0,0.0,0.0,85.0,98.0,82.0,I4,21594,Scott Air LLC dba Island Air Express,D,I4,Scott Air LLC dba Island Air Express,1,5,14256,34256,PSG,"Petersburg, AK",US,United States,12728,30007,KLW,"Klawock, AK",US,United States,4,415,1,2018,5,1,F,DU
66,0.0,28.0,1468808.0,6524.0,4959.0,476016.0,0.0,7088.0,0.0,0.0,EY,21107,Etihad Airways,I,EY,Etihad Airways,0,0,12264,30852,IAD,"Washington, DC",US,United States,10415,30415,AUH,"Abu Dhabi, United Arab Emirates",AE,United Arab Emirates,6,889,1,2019,2,15,F,IF
67,70.0,71.0,2333770.0,10579.0,9537.0,4018.0,0.0,880.0,10866.0,8864.0,DL,19790,Delta Air Lines Inc.,L,DL,Delta Air Lines Inc.,3,3,11032,31032,CUN,"Cancun, Mexico",MX,Mexico,10397,30397,ATL,"Atlanta, GA",US,United States,6,655,1,2017,5,2,F,IU
68,0.0,1.0,1000.0,6.0,0.0,15.0,0.0,164.0,71.0,68.0,GV,20455,Grant Aviation,D,GV,Grant Aviation,1,5,11550,31550,EMK,"Emmonak, AK",US,United States,10551,30113,BET,"Bethel, AK",US,United States,0,35,1,2016,10,1,F,DU
69,0.0,9.0,1052746.0,2268.0,2120.0,133533.0,0.0,3478.0,0.0,0.0,AV,19537,Aerovias Nacl De Colombia,I,AV,Aerovias Nacl De Colombia,0,0,10711,30711,BOG,"Bogota, Colombia",CO,Colombia,12892,32575,LAX,"Los Angeles, CA",US,United States,6,696,1,2019,4,7,F,IF
70,1.0,1.0,13500.0,50.0,0.0,0.0,0.0,748.0,142.0,113.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,11603,31603,EUG,"Eugene, OR",US,United States,12892,32575,LAX,"Los Angeles, CA",US,United States,6,629,1,2019,1,2,F,DU
71,1.0,1.0,35600.0,128.0,72.0,0.0,302.0,986.0,136.0,117.0,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,11298,30194,DFW,"Dallas/Fort Worth, TX",US,United States,11433,31295,DTW,"Detroit, MI",US,United States,6,698,1,2016,12,2,F,DU
72,1.0,1.0,40628.0,166.0,116.0,0.0,0.0,1877.0,264.0,240.0,UA,19977,United Air Lines Inc.,L,UA,United Air Lines Inc.,3,3,12264,30852,IAD,"Washington, DC",US,United States,10411,30411,AUA,"Aruba, Aruba",AW,Aruba,6,614,1,2018,2,4,F,IU
73,12.0,12.0,413352.0,1578.0,1183.0,561.0,780.0,1087.0,1877.0,1588.0,DL,19790,Delta Air Lines Inc.,D,DL,Delta Air Lines Inc.,3,3,14869,34614,SLC,"Salt Lake City, UT",US,United States,14683,33214,SAT,"San Antonio, TX",US,United States,6,698,1,2017,2,3,F,DU
74,17.0,17.0,2160386.0,0.0,0.0,1246802.0,0.0,200.0,1197.0,804.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,10721,30721,BOS,"Boston, MA",US,United States,11618,31703,EWR,"Newark, NJ",US,United States,6,626,2,2018,6,1,G,DU
75,1.0,1.0,12500.0,50.0,41.0,0.0,0.0,317.0,87.0,49.0,9E,20363,Endeavor Air Inc.,D,9E,Endeavor Air Inc.,2,2,10397,30397,ATL,"Atlanta, GA",US,United States,13577,31135,MYR,"Myrtle Beach, SC",US,United States,6,629,1,2015,1,1,F,DU
76,0.0,1.0,49760.0,199.0,186.0,0.0,0.0,120.0,54.0,34.0,DL,19790,Delta Air Lines Inc.,D,DL,Delta Air Lines Inc.,3,3,11292,30325,DEN,"Denver, CO",US,United States,11503,31503,EGE,"Eagle, CO",US,United States,6,622,1,2017,12,1,F,DU
77,0.0,1.0,2611.0,9.0,0.0,0.0,0.0,127.0,51.0,42.0,4W,20323,Warbelow,D,4W,Warbelow,1,5,15124,35124,TAL,"Tanana, AK",US,United States,11630,31517,FAI,"Fairbanks, AK",US,United States,1,194,1,2018,12,1,F,DU
78,87.0,84.0,3031500.0,10472.0,8199.0,814.0,0.0,814.0,12094.0,10200.0,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,11278,30852,DCA,"Washington, DC",US,United States,15304,33195,TPA,"Tampa, FL",US,United States,6,698,1,2016,2,2,F,DU
79,2.0,2.0,24480.0,100.0,67.0,0.0,0.0,162.0,108.0,72.0,OH,20397,PSA Airlines Inc.,D,OH,PSA Airlines Inc.,2,2,11267,31267,DAY,"Dayton, OH",US,United States,10874,30647,CAK,"Akron, OH",US,United States,6,629,1,2018,9,1,F,DU
80,0.0,2.0,86800.0,350.0,327.0,0.0,0.0,228.0,215.0,84.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,11433,31295,DTW,"Detroit, MI",US,United States,13232,30977,MDW,"Chicago, IL",US,United States,6,614,1,2016,5,1,F,DU
81,0.0,52.0,2424602.0,10400.0,8143.0,7614.0,0.0,1876.0,0.0,0.0,RV,21610,Air Canada rouge LP,I,RV,Air Canada rouge LP,0,0,14107,30466,PHX,"Phoenix, AZ",US,United States,16271,36106,YYZ,"Toronto, Canada",CA,Canada,6,699,1,2019,11,4,F,IF
82,0.0,28.0,2599300.0,8634.0,6475.0,62108.0,0.0,4025.0,0.0,0.0,JL,19548,Japan Air Lines Co. Ltd.,I,JL,Japan Air Lines Co. Ltd.,0,0,12173,32134,HNL,"Honolulu, HI",US,United States,13694,33664,NGO,"Nagoya, Japan",JP,Japan,6,627,1,2015,2,9,F,IF
83,53.0,52.0,555360.0,1924.0,1352.0,0.0,0.0,133.0,3262.0,1916.0,C5,20445,"Commutair Aka Champlain Enterprises, Inc.",D,C5,"Commutair Aka Champlain Enterprises, Inc.",1,6,12264,30852,IAD,"Washington, DC",US,United States,14711,34711,SCE,"State College, PA",US,United States,4,491,1,2016,5,1,F,DU
84,0.0,1.0,4206.0,12.0,8.0,0.0,0.0,515.0,0.0,0.0,13Q,21437,Chartright Air Inc.,I,13Q,Chartright Air Inc.,0,0,14100,34100,PHL,"Philadelphia, PA",US,United States,16163,36131,YQB,"Quebec, Canada",CA,Canada,6,669,1,2017,10,2,L,IF
85,0.0,1.0,33817.0,126.0,122.0,0.0,0.0,1819.0,295.0,238.0,SY,20422,Sun Country Airlines d/b/a MN Airlines,D,SY,Sun Country Airlines d/b/a MN Airlines,2,2,11823,31823,FWA,"Fort Wayne, IN",US,United States,14570,34570,RNO,"Reno, NV",US,United States,6,612,1,2017,5,4,L,DU
86,11.0,10.0,186160.0,700.0,564.0,0.0,0.0,262.0,711.0,460.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,14771,32457,SFO,"San Francisco, CA",US,United States,14689,34689,SBA,"Santa Barbara, CA",US,United States,6,631,1,2019,8,1,F,DU
87,76.0,69.0,1504407.0,5244.0,3337.0,0.0,0.0,660.0,8737.0,6856.0,YX,20452,Republic Airline,D,YX,Republic Airline,2,2,12339,32337,IND,"Indianapolis, IN",US,United States,12953,31703,LGA,"New York, NY",US,United States,6,673,1,2017,7,2,F,DU
