crs_dep_time,crs_arr_time,crs_elapsed_time,flights,distance,orig_weather_categ,dest_weather_categ,year,month,day,dep_time_of_day,arr_time_of_day,orig_region,dest_region,mean_arr_delay_orig_airport,mean_arr_delay_dest_airport,mean_arr_delay_carrier
1845,2130,105.0,1.0,628.0,0,0,2019,5,18,3,1,5,0,5.15566037735849,7.986149584487535,3.9402271368798565
600,726,206.0,1.0,1235.0,0,0,2019,11,13,0,0,6,5,7.569148936170213,12.547231270358306,5.078223270440252
1330,1440,70.0,1.0,187.0,0,0,2019,1,31,2,2,8,6,4.371621621621622,5.1256830601092895,12.312328767123288
1935,2111,96.0,1.0,404.0,1,0,2019,5,13,3,1,2,1,20.82941176470588,-0.040169133192389,3.8531746031746033
1631,1756,85.0,1.0,364.0,0,1,2019,10,26,2,3,6,3,7.569148936170213,-5.454545454545454,5.078223270440252
1219,1339,80.0,1.0,304.0,0,0,2019,2,13,2,2,6,8,-6.0,5.974789915966387,5.078223270440252
1907,2038,91.0,1.0,455.0,0,1,2019,9,9,3,3,5,4,10.992424242424242,3.0,8.24934929724102
1355,1610,135.0,1.0,679.0,1,0,2019,4,12,2,2,7,5,3.3659574468085105,5.147465437788019,0.2486865148861646
1526,1656,90.0,1.0,290.0,0,0,2019,11,29,2,2,8,1,-2.4444444444444446,0.8445945945945946,5.078223270440252
1435,1533,58.0,1.0,157.0,3,0,2019,5,23,2,2,2,1,6.201438848920863,-4.086956521739131,5.078223270440252
940,1135,235.0,1.0,1590.0,3,0,2019,8,6,0,0,2,0,2.3117647058823527,-2.1129943502824857,3.8531746031746033
1809,1944,95.0,1.0,280.0,3,2,2018,3,23,3,3,8,6,13.46875,5.1256830601092895,5.078223270440252
905,1521,256.0,1.0,1874.0,0,1,2018,8,9,0,2,7,8,3.3659574468085105,1.1374407582938388,8.24934929724102
1200,1434,154.0,1.0,925.0,0,2,2019,12,2,2,2,6,2,4.889952153110048,6.31640625,8.24934929724102
1243,1430,167.0,1.0,989.0,3,1,2018,7,11,2,2,6,0,7.569148936170213,-2.1129943502824857,3.8531746031746033
701,849,168.0,1.0,723.0,1,2,2018,12,28,0,0,8,2,1.8,6.31640625,5.078223270440252
1805,2205,180.0,1.0,1208.0,0,1,2019,12,14,3,1,6,9,4.889952153110048,7.032258064516129,8.24934929724102
1711,1839,88.0,1.0,305.0,0,1,2019,1,28,3,3,6,8,7.386666666666667,1.1374407582938388,8.24934929724102
1855,2015,80.0,1.0,436.0,0,1,2019,5,19,3,3,6,8,9.616279069767442,-2.0694444444444446,3.9402271368798565
2039,2350,131.0,1.0,731.0,1,2,2019,6,26,3,1,6,1,7.569148936170213,-0.040169133192389,5.078223270440252
1825,1945,80.0,1.0,387.0,0,0,2019,7,12,3,3,7,5,-2.6315789473684212,5.391891891891892,3.9402271368798565
710,946,96.0,1.0,484.0,1,1,2018,12,14,0,0,0,1,6.101010101010101,-0.040169133192389,3.8531746031746033
1533,1914,161.0,1.0,989.0,0,1,2018,9,11,2,3,5,8,-3.074829931972789,5.974789915966387,5.078223270440252
2130,2230,60.0,1.0,192.0,0,0,2018,6,26,1,1,6,8,4.889952153110048,-5.0,8.24934929724102
2006,2249,163.0,1.0,957.0,1,0,2018,10,30,3,1,3,1,11.366071428571429,6.5423728813559325,16.312883435582823
1933,2145,132.0,1.0,712.0,3,1,2019,6,6,3,1,8,1,2.8823529411764706,-0.040169133192389,3.8531746031746033
1335,1730,175.0,1.0,1183.0,1,0,2019,2,1,2,3,6,9,7.386666666666667,5.653846153846154,3.8531746031746033
1301,1608,127.0,1.0,640.0,1,0,2019,6,24,2,2,6,1,-6.0,0.8445945945945946,5.078223270440252
1240,1409,89.0,1.0,195.0,1,1,2018,1,28,2,2,9,9,12.153846153846153,5.653846153846154,3.8531746031746033
1855,2150,355.0,1.0,2350.0,3,0,2019,10,5,3,1,8,5,3.246987951807229,-0.1623931623931624,0.2486865148861646
1420,1604,164.0,1.0,989.0,1,0,2018,10,1,2,2,6,0,7.569148936170213,-2.1129943502824857,3.8531746031746033
2023,2206,103.0,1.0,481.0,1,1,2019,8,24,3,1,2,9,2.3117647058823527,15.789473684210526,3.8531746031746033
1140,1230,110.0,1.0,628.0,3,0,2018,10,17,0,2,5,5,3.342857142857143,3.2777777777777777,0.2486865148861646
1822,2034,132.0,1.0,588.0,0,0,2019,8,4,3,3,8,2,13.46875,5.9855072463768115,5.078223270440252
1900,2038,158.0,1.0,964.0,1,0,2018,8,6,3,3,5,5,10.992424242424242,2.3125,8.24934929724102
1700,2120,140.0,1.0,879.0,0,0,2019,8,1,3,1,5,8,3.3743589743589744,5.920634920634921,3.9402271368798565
725,850,85.0,1.0,395.0,1,2,2019,2,22,0,0,6,8,4.889952153110048,2.76,8.24934929724102
1530,1820,350.0,1.0,2454.0,0,0,2018,9,29,2,3,8,5,12.975961538461538,12.547231270358306,8.24934929724102
1648,1939,111.0,1.0,618.0,1,3,2018,12,27,2,3,7,0,2.1818181818181817,-2.1129943502824857,3.8531746031746033
2055,2210,75.0,1.0,342.0,1,1,2019,9,20,3,1,0,3,6.101010101010101,4.414634146341464,3.9402271368798565
1455,1620,85.0,1.0,342.0,3,2,2019,4,3,2,2,7,5,2.0987654320987654,5.229166666666667,0.2486865148861646
1220,1338,78.0,1.0,224.0,0,0,2019,4,14,2,2,6,8,4.889952153110048,5.974789915966387,5.078223270440252
1150,1240,50.0,1.0,213.0,1,1,2019,5,3,0,2,7,5,81.0,81.0,0.2486865148861646
1800,1850,50.0,1.0,93.0,1,1,2019,10,4,3,3,7,5,3.3659574468085105,-3.5,0.2486865148861646
1940,2210,150.0,1.0,585.0,3,1,2018,2,19,3,1,8,2,8.6875,24.59016393442623,3.8531746031746033
1540,1750,70.0,1.0,307.0,3,1,2018,4,16,2,3,3,2,5.879310344827586,6.126984126984127,3.9402271368798565
1500,1613,73.0,1.0,209.0,3,2,2018,3,9,2,2,8,6,12.975961538461538,52.92307692307692,8.24934929724102
2200,2310,70.0,1.0,198.0,1,2,2019,11,18,1,1,8,9,8.6875,7.739130434782608,3.8531746031746033
1317,1453,96.0,1.0,433.0,0,0,2018,11,26,2,2,5,0,3.3743589743589744,39.75,5.078223270440252
1759,1933,94.0,1.0,406.0,0,2,2018,10,1,3,3,2,1,12.806122448979592,-0.040169133192389,3.8531746031746033
1621,1749,88.0,1.0,293.0,1,1,2019,3,2,2,3,6,8,1.6666666666666667,5.974789915966387,5.078223270440252
1700,2145,165.0,1.0,1055.0,0,0,2019,6,15,3,1,5,8,5.15566037735849,5.974789915966387,9.975708502024291
540,705,85.0,1.0,419.0,0,2,2018,12,29,0,0,6,8,6.2727272727272725,0.85,3.9402271368798565
1106,1231,85.0,1.0,257.0,3,0,2018,4,1,0,2,8,1,8.2,0.8445945945945946,5.078223270440252
1226,1412,106.0,1.0,437.0,0,1,2018,9,17,2,2,9,9,-0.4166666666666667,7.032258064516129,5.078223270440252
1340,1502,82.0,1.0,335.0,0,0,2019,3,6,2,2,6,8,7.569148936170213,-2.0,5.078223270440252
605,824,139.0,1.0,685.0,0,0,2019,9,28,0,0,2,8,11.166666666666666,5.974789915966387,5.078223270440252
1345,1628,163.0,1.0,954.0,3,2,2019,6,6,2,2,7,5,-0.7631578947368421,4.6437246963562755,3.8531746031746033
726,902,96.0,1.0,534.0,0,0,2018,10,22,0,0,2,9,2.3117647058823527,9.756756756756756,3.8531746031746033
1415,1600,285.0,1.0,1972.0,1,0,2019,8,7,2,2,2,0,6.568421052631579,9.221276595744682,5.078223270440252
1324,1438,74.0,1.0,236.0,0,0,2019,12,28,2,2,7,0,-0.7631578947368421,2.7577092511013217,3.8531746031746033
2230,5,95.0,1.0,546.0,3,0,2018,7,12,1,1,6,3,9.616279069767442,8.241379310344827,3.9402271368798565
1152,1315,143.0,1.0,737.0,0,0,2019,1,13,0,2,5,5,7.538461538461538,12.547231270358306,5.078223270440252
845,1150,125.0,1.0,814.0,1,0,2019,2,5,0,0,0,9,6.101010101010101,9.606741573033707,3.9402271368798565
1105,1329,144.0,1.0,820.0,1,1,2018,11,26,0,2,2,9,9.53191489361702,11.220095693779903,8.24934929724102
820,934,74.0,1.0,192.0,0,0,2018,5,28,0,0,5,5,6.555555555555555,5.147465437788019,8.24934929724102
1850,2008,78.0,1.0,303.0,4,0,2019,10,23,3,3,5,0,10.992424242424242,30.0,8.24934929724102
715,907,112.0,1.0,488.0,1,0,2019,5,5,0,0,8,2,12.975961538461538,2.8487394957983194,3.8531746031746033
1705,1811,126.0,1.0,528.0,2,3,2018,1,16,3,3,8,2,1.2,6.31640625,8.24934929724102
2357,325,148.0,1.0,982.0,0,0,2018,11,29,1,1,2,10,3.2672413793103448,-15.333333333333334,9.975708502024291
1205,1340,95.0,1.0,376.0,0,0,2019,5,25,2,2,1,8,6.285714285714286,1.1374407582938388,8.24934929724102
2112,2,170.0,1.0,1065.0,3,0,2018,2,3,1,1,2,9,3.2672413793103448,11.220095693779903,12.312328767123288
1240,1523,343.0,1.0,2306.0,0,2,2019,9,19,2,2,8,5,22.07547169811321,4.6437246963562755,8.24934929724102
1405,1506,121.0,1.0,610.0,0,1,2018,7,12,2,2,3,7,11.366071428571429,6.486486486486487,3.8531746031746033
1805,1900,55.0,1.0,140.0,0,2,2018,1,9,3,3,2,1,6.201438848920863,-2.25,5.078223270440252
1144,1505,141.0,1.0,846.0,0,0,2018,12,20,0,2,7,0,1.3088235294117647,7.986149584487535,16.312883435582823
1836,2056,80.0,1.0,240.0,0,0,2019,9,30,3,3,3,2,8.521739130434783,12.64,5.078223270440252
1953,2223,150.0,1.0,861.0,1,1,2019,7,17,3,1,2,9,20.82941176470588,9.606741573033707,9.975708502024291
1720,2003,163.0,1.0,937.0,1,1,2018,5,14,3,3,2,9,20.82941176470588,11.220095693779903,8.24934929724102
845,1115,150.0,1.0,853.0,0,0,2019,5,5,0,0,0,8,4.353191489361702,5.920634920634921,3.9402271368798565
600,830,150.0,1.0,757.0,1,1,2019,12,29,0,0,3,1,2.140625,6.5423728813559325,16.312883435582823
2015,11,176.0,1.0,1008.0,1,0,2019,6,9,3,1,0,9,4.353191489361702,11.220095693779903,3.8531746031746033
1045,1305,260.0,1.0,1621.0,0,1,2019,12,25,0,2,6,5,3.1911764705882355,3.8076923076923075,3.9402271368798565
1355,1455,60.0,1.0,222.0,4,1,2019,3,6,2,2,7,5,-1.7083333333333333,2.3125,0.2486865148861646
1910,2115,125.0,1.0,603.0,0,0,2019,11,1,3,1,1,8,8.142857142857142,5.974789915966387,5.078223270440252
833,1145,132.0,1.0,860.0,0,2,2018,10,4,0,0,3,6,14.764705882352942,5.1256830601092895,3.8531746031746033
1450,2150,240.0,1.0,1892.0,0,1,2018,12,30,2,1,7,1,2.4728682170542635,-0.040169133192389,3.9402271368798565
1549,1655,66.0,1.0,236.0,0,0,2018,2,28,2,2,7,0,-0.7631578947368421,2.7577092511013217,-8.6
1420,1535,75.0,1.0,83.0,3,0,2018,10,6,2,2,2,1,13.333333333333334,0.8445945945945946,5.078223270440252
1230,1520,110.0,1.0,626.0,0,0,2018,10,8,2,2,7,0,2.4728682170542635,-2.1129943502824857,3.9402271368798565
1100,1402,122.0,1.0,612.0,0,1,2019,7,23,0,2,3,9,8.521739130434783,7.032258064516129,8.24934929724102
836,940,124.0,1.0,590.0,0,0,2018,6,8,0,0,5,5,-3.074829931972789,12.547231270358306,5.078223270440252
920,1038,78.0,1.0,314.0,0,0,2018,6,26,0,0,7,5,2.4728682170542635,-5.833333333333333,0.2486865148861646
2235,2335,60.0,1.0,192.0,1,1,2018,9,6,1,1,6,8,3.1911764705882355,2.440677966101695,3.9402271368798565
1055,1231,96.0,1.0,482.0,1,1,2019,6,30,0,2,6,8,-2.5,5.974789915966387,5.078223270440252
1344,1523,99.0,1.0,372.0,0,0,2019,5,22,2,2,8,1,3.246987951807229,-4.086956521739131,5.078223270440252
901,1159,178.0,1.0,946.0,0,0,2018,1,31,0,0,9,1,8.71359223300971,-0.040169133192389,12.312328767123288
606,756,110.0,1.0,391.0,0,0,2018,7,12,0,0,5,5,6.555555555555555,12.547231270358306,8.24934929724102
835,1040,125.0,1.0,663.0,0,1,2019,8,25,0,0,8,1,0.2987012987012987,2.806451612903226,3.9402271368798565
1510,1650,100.0,1.0,447.0,0,0,2018,10,18,2,2,7,5,3.6157205240174672,3.2777777777777777,3.9402271368798565
1735,1827,52.0,1.0,73.0,0,0,2019,1,17,3,3,5,0,10.992424242424242,-5.066666666666666,8.24934929724102
1411,1501,110.0,1.0,516.0,3,0,2019,9,13,2,2,0,0,23.25,7.986149584487535,8.24934929724102
844,1145,121.0,1.0,641.0,0,0,2019,9,11,0,0,5,8,10.992424242424242,5.974789915966387,5.078223270440252
1705,1825,80.0,1.0,365.0,0,0,2019,8,12,3,3,5,0,-3.8260869565217392,2.7577092511013217,3.9402271368798565
600,720,260.0,1.0,1678.0,0,0,2018,4,30,0,0,3,0,2.140625,2.7577092511013217,3.8531746031746033
1345,1550,65.0,1.0,214.0,3,0,2018,11,17,2,2,1,1,2.4909090909090907,-0.040169133192389,3.9402271368798565
854,1034,100.0,1.0,308.0,0,0,2018,10,29,0,0,7,5,2.0987654320987654,12.547231270358306,5.078223270440252
635,840,65.0,1.0,328.0,0,0,2019,9,5,0,0,5,0,3.3743589743589744,-0.15384615384615385,3.9402271368798565
810,1120,130.0,1.0,725.0,0,4,2019,12,11,0,0,3,9,5.879310344827586,5.653846153846154,3.9402271368798565
1624,1732,68.0,1.0,228.0,1,0,2018,9,14,2,3,7,5,3.3659574468085105,-3.7857142857142856,0.2486865148861646
1128,1454,146.0,1.0,853.0,0,3,2019,10,30,0,2,7,0,2.4728682170542635,7.986149584487535,16.312883435582823
956,1130,94.0,1.0,383.0,0,2,2018,10,19,0,0,8,2,22.07547169811321,2.8487394957983194,3.8531746031746033
848,1016,88.0,1.0,210.0,1,1,2019,2,6,0,0,8,9,13.46875,-0.2,5.078223270440252
1523,1611,48.0,1.0,163.0,0,1,2018,6,29,2,2,7,5,-2.4029850746268657,5.107142857142857,1.0377358490566038
1115,1501,166.0,1.0,1013.0,3,1,2018,1,22,0,2,5,2,7.538461538461538,6.31640625,8.24934929724102
1700,1817,77.0,1.0,324.0,0,1,2019,1,20,3,3,7,5,-2.6315789473684212,3.8076923076923075,12.312328767123288
1103,1230,87.0,1.0,257.0,3,2,2019,8,25,0,2,8,1,8.2,0.8445945945945946,5.078223270440252
530,701,151.0,1.0,680.0,2,0,2018,12,1,0,0,0,0,4.353191489361702,7.986149584487535,16.312883435582823
2245,720,335.0,1.0,2611.0,0,0,2018,1,31,1,0,7,6,-0.7631578947368421,5.1256830601092895,5.078223270440252
1405,1837,152.0,1.0,1009.0,0,2,2019,4,22,2,3,5,8,3.3743589743589744,1.1374407582938388,8.24934929724102
1350,1553,63.0,1.0,157.0,3,2,2018,1,9,2,2,3,2,8.521739130434783,3.4166666666666665,8.24934929724102
1905,2015,70.0,1.0,341.0,0,0,2019,6,28,3,3,6,8,6.6125,-6.0,3.9402271368798565
1640,1937,117.0,1.0,678.0,0,0,2018,11,14,2,3,3,9,8.521739130434783,9.606741573033707,5.078223270440252
1430,1635,125.0,1.0,695.0,0,1,2018,4,24,2,2,0,7,4.353191489361702,5.515463917525773,3.8531746031746033
1405,1620,135.0,1.0,787.0,1,0,2018,7,8,2,2,2,9,20.82941176470588,-1.4881889763779528,3.9402271368798565
1129,1858,269.0,1.0,1919.0,0,0,2018,7,27,0,3,7,1,1.3088235294117647,-0.040169133192389,3.8531746031746033
1943,2130,107.0,1.0,335.0,3,0,2018,10,25,3,1,8,9,-5.5,5.653846153846154,3.8531746031746033
1939,2101,82.0,1.0,245.0,1,1,2019,4,5,3,1,8,1,5.375,0.8445945945945946,5.078223270440252
1815,2008,113.0,1.0,427.0,1,2,2018,3,6,3,3,2,9,7.851851851851852,8.962962962962964,3.8531746031746033
650,838,108.0,1.0,349.0,0,0,2019,7,25,0,0,0,2,4.353191489361702,8.442477876106194,3.8531746031746033
1100,1500,360.0,1.0,2504.0,0,0,2019,2,17,0,2,7,5,-0.7631578947368421,5.107142857142857,1.0377358490566038
710,850,220.0,1.0,1363.0,1,0,2018,10,9,0,0,0,5,-1.6527777777777777,12.547231270358306,3.9402271368798565
948,1253,185.0,1.0,1209.0,1,1,2018,2,23,0,2,2,6,6.568421052631579,0.5714285714285714,16.312883435582823
1810,2349,219.0,1.0,1635.0,0,0,2019,11,25,3,1,7,8,3.6157205240174672,1.1374407582938388,8.24934929724102
1015,1735,260.0,1.0,1866.0,0,0,2019,3,17,0,3,7,2,3.3659574468085105,5.9855072463768115,3.8531746031746033
945,1130,105.0,1.0,623.0,0,0,2019,6,14,0,0,1,8,2.4909090909090907,5.920634920634921,3.9402271368798565
1215,1315,120.0,1.0,528.0,1,1,2018,10,4,2,2,3,3,11.366071428571429,5.432558139534883,3.8531746031746033
545,739,114.0,1.0,549.0,0,1,2018,5,21,0,0,9,2,13.16,2.8487394957983194,3.8531746031746033
859,1022,83.0,1.0,319.0,0,0,2018,4,21,0,0,8,1,3.246987951807229,-9.307692307692308,5.078223270440252
1330,1534,124.0,1.0,491.0,0,1,2018,5,26,2,2,3,7,8.521739130434783,6.486486486486487,8.24934929724102
1755,1900,65.0,1.0,196.0,0,1,2019,5,16,3,3,0,3,34.06666666666667,5.432558139534883,3.8531746031746033
1716,1911,235.0,1.0,1431.0,0,0,2019,12,17,3,3,6,5,7.569148936170213,5.391891891891892,5.078223270440252
945,1050,65.0,1.0,226.0,0,0,2018,12,28,0,0,7,0,1.3088235294117647,2.7577092511013217,3.9402271368798565
619,744,85.0,1.0,282.0,0,2,2018,4,12,0,0,0,3,-1.0526315789473684,5.432558139534883,3.8531746031746033
1818,2112,114.0,1.0,680.0,0,0,2019,6,10,3,1,5,3,10.992424242424242,5.432558139534883,3.8531746031746033
536,700,84.0,1.0,155.0,0,0,2019,1,28,0,0,8,1,-12.142857142857142,0.8445945945945946,5.078223270440252
1500,1616,76.0,1.0,209.0,3,1,2018,4,26,2,2,8,6,12.975961538461538,52.92307692307692,8.24934929724102
1850,2115,145.0,1.0,982.0,1,3,2019,2,1,3,1,2,9,4.410256410256411,10.2,9.975708502024291
1710,1802,112.0,1.0,584.0,1,2,2019,5,27,3,3,5,5,-3.074829931972789,3.8076923076923075,3.8531746031746033
1716,1936,320.0,1.0,2269.0,0,0,2019,7,4,3,3,2,5,3.2672413793103448,3.2777777777777777,12.312328767123288
2135,2356,321.0,1.0,1972.0,0,0,2018,3,20,1,1,2,0,6.568421052631579,9.221276595744682,5.078223270440252
1525,1705,160.0,1.0,896.0,3,2,2019,5,29,2,3,5,5,3.342857142857143,5.147465437788019,8.24934929724102
1815,2103,108.0,1.0,563.0,0,1,2018,5,29,3,1,0,1,7.705882352941177,-0.040169133192389,3.8531746031746033
552,941,169.0,1.0,1068.0,0,1,2018,6,4,0,0,0,1,6.101010101010101,-0.5096153846153846,5.078223270440252
2100,2212,132.0,1.0,612.0,1,1,2018,9,18,1,1,8,2,3.246987951807229,6.31640625,5.078223270440252
759,1025,146.0,1.0,762.0,0,1,2018,8,7,0,0,8,1,8.6875,-0.040169133192389,3.8531746031746033
1753,1922,89.0,1.0,469.0,0,0,2019,8,9,3,3,6,8,7.569148936170213,9.4,5.078223270440252
1140,1317,157.0,1.0,773.0,0,2,2018,4,11,0,2,2,2,7.961538461538462,6.31640625,8.24934929724102
1542,1720,98.0,1.0,352.0,0,0,2019,6,12,2,3,7,5,3.3659574468085105,2.3125,3.8531746031746033
720,1017,117.0,1.0,588.0,0,0,2018,11,12,0,0,7,0,-2.6315789473684212,-2.1129943502824857,3.8531746031746033
501,644,103.0,1.0,399.0,0,0,2019,11,21,0,0,9,9,8.71359223300971,7.032258064516129,12.312328767123288
1919,2235,136.0,1.0,719.0,0,0,2018,1,25,3,1,3,9,8.521739130434783,11.220095693779903,8.24934929724102
2126,2258,92.0,1.0,442.0,3,1,2019,5,1,1,1,2,1,2.3117647058823527,-14.0,3.8531746031746033
1405,1600,115.0,1.0,500.0,0,1,2019,7,9,2,2,8,1,8.6875,-9.307692307692308,5.078223270440252
805,1048,283.0,1.0,1626.0,1,0,2019,4,28,0,0,8,0,4.371621621621622,7.986149584487535,3.8531746031746033
845,1125,100.0,1.0,528.0,0,0,2019,9,26,0,0,0,2,4.353191489361702,2.8487394957983194,3.8531746031746033
605,1150,225.0,1.0,1620.0,0,1,2019,4,14,0,0,5,9,10.992424242424242,5.653846153846154,3.9402271368798565
1515,1620,65.0,1.0,224.0,3,1,2018,3,23,2,2,7,5,6.45,4.6437246963562755,0.2486865148861646
1102,1315,193.0,1.0,1195.0,1,0,2018,5,20,0,2,6,0,4.889952153110048,-2.1129943502824857,3.8531746031746033
1453,1626,93.0,1.0,356.0,3,0,2018,6,30,2,2,2,1,7.851851851851852,-0.040169133192389,3.8531746031746033
1905,2020,75.0,1.0,337.0,0,2,2019,5,28,3,3,7,5,-0.7631578947368421,-3.578125,3.9402271368798565
600,930,150.0,1.0,907.0,0,3,2018,1,17,0,0,0,1,4.353191489361702,-0.040169133192389,3.9402271368798565
1900,2104,124.0,1.0,679.0,0,2,2019,3,17,3,1,5,4,10.992424242424242,-7.142857142857143,8.24934929724102
1043,1230,107.0,1.0,431.0,0,0,2019,11,13,0,2,2,9,7.851851851851852,5.653846153846154,5.078223270440252
1755,1924,89.0,1.0,402.0,1,1,2019,6,7,3,3,4,0,14.333333333333334,-2.1129943502824857,3.8531746031746033
1219,1353,94.0,1.0,516.0,1,0,2019,3,11,2,2,2,9,2.3117647058823527,2.810810810810811,3.8531746031746033
1830,2154,144.0,1.0,900.0,0,0,2019,9,5,3,1,3,6,8.521739130434783,9.363636363636363,8.24934929724102
1225,1320,115.0,1.0,475.0,1,2,2019,10,16,2,2,1,2,3.6666666666666665,6.31640625,8.24934929724102
1810,1950,100.0,1.0,421.0,0,0,2019,2,18,3,3,7,5,-7.0,5.147465437788019,8.24934929724102
1320,1515,175.0,1.0,990.0,0,4,2018,11,9,2,2,2,2,20.82941176470588,8.442477876106194,3.9402271368798565
2040,2158,78.0,1.0,198.0,1,1,2018,5,6,3,1,8,9,13.46875,15.789473684210526,5.078223270440252
1510,1640,210.0,1.0,1313.0,1,2,2019,3,9,2,2,6,5,3.1911764705882355,3.2777777777777777,3.9402271368798565
1400,1540,100.0,1.0,429.0,3,2,2019,2,2,2,2,6,8,7.380952380952381,1.1374407582938388,8.24934929724102
1632,1944,192.0,1.0,1237.0,1,1,2018,9,26,2,3,2,6,3.2672413793103448,5.1256830601092895,12.312328767123288
851,1156,125.0,1.0,675.0,0,2,2019,4,21,0,0,1,9,2.4909090909090907,9.606741573033707,5.078223270440252
1520,1615,115.0,1.0,528.0,3,2,2019,6,6,2,2,8,2,1.2,6.31640625,5.078223270440252
1554,1948,174.0,1.0,1066.0,1,0,2019,9,24,2,3,6,9,2.727272727272727,9.606741573033707,5.078223270440252
1810,1943,153.0,1.0,783.0,0,1,2018,5,9,3,3,9,2,13.16,6.31640625,8.24934929724102
2155,2300,65.0,1.0,236.0,0,0,2018,8,20,1,1,5,5,5.15566037735849,12.547231270358306,3.9402271368798565
1223,1353,90.0,1.0,354.0,0,0,2019,12,1,2,2,6,8,-6.0,5.974789915966387,5.078223270440252
1859,2123,84.0,1.0,341.0,0,0,2019,4,1,3,1,1,1,-7.5625,-0.040169133192389,3.8531746031746033
1005,1345,160.0,1.0,1105.0,1,2,2018,4,21,0,2,6,1,6.6125,11.274809160305344,3.9402271368798565
1440,1635,115.0,1.0,590.0,0,0,2019,11,25,2,2,2,1,6.201438848920863,10.2,5.078223270440252
1851,2135,104.0,1.0,630.0,4,2,2019,2,8,3,1,7,0,-1.7083333333333333,-2.1129943502824857,3.8531746031746033
1700,1935,155.0,1.0,867.0,3,0,2019,7,11,3,3,7,0,3.3659574468085105,2.7577092511013217,0.2486865148861646
2140,2350,130.0,1.0,852.0,1,0,2019,1,28,1,1,2,9,20.82941176470588,10.2,9.975708502024291
1739,1947,308.0,1.0,1979.0,3,0,2018,11,4,3,3,3,5,11.366071428571429,12.547231270358306,3.8531746031746033
1445,1557,72.0,1.0,247.0,0,0,2018,5,6,2,2,6,8,7.569148936170213,0.85,5.078223270440252
